alpha_deg,C_L
-18.500,-1.2258
-18.250,-1.2456
-18.000,-1.2659
-17.750,-1.2852
-17.500,-1.3031
-17.250,-1.3193
-17.000,-1.3322
-16.750,-1.3427
-16.500,-1.3519
-16.250,-1.3687
-16.000,-1.3806
-15.750,-1.3868
-15.500,-1.3879
-15.250,-1.3854
-15.000,-1.3802
-14.750,-1.3739
-14.500,-1.3669
-14.250,-1.3590
-14.000,-1.3502
-13.750,-1.3399
-13.500,-1.3281
-13.250,-1.3149
-13.000,-1.3132
-12.750,-1.3004
-12.500,-1.2834
-12.250,-1.2649
-12.000,-1.2455
-11.750,-1.2250
-11.500,-1.2032
-11.250,-1.1872
-11.000,-1.1666
-10.750,-1.1449
-10.500,-1.1228
-10.250,-1.1000
-10.000,-1.0807
-9.750,-1.0591
-9.500,-1.0368
-9.250,-1.0143
-9.000,-0.9948
-8.750,-0.9735
-8.500,-0.9517
-8.250,-0.9313
-8.000,-0.9104
-7.750,-0.8888
-7.500,-0.8687
-7.250,-0.8475
-7.000,-0.8268
-6.750,-0.7975
-6.500,-0.7634
-6.250,-0.7289
-6.000,-0.6939
-5.750,-0.6601
-5.500,-0.6268
-5.000,-0.5571
-4.750,-0.5213
-4.500,-0.4903
-4.250,-0.4588
-4.000,-0.4276
-3.750,-0.4004
-3.500,-0.3730
-3.250,-0.3462
-3.000,-0.3201
-2.750,-0.2938
-2.500,-0.2675
-2.250,-0.2410
-2.000,-0.2144
-1.750,-0.1878
-1.500,-0.1611
-1.250,-0.1343
-1.000,-0.1075
-0.750,-0.0806
-0.500,-0.0538
-0.250,-0.0268
0.000, 0.0000
0.250, 0.0269
0.500, 0.0538
0.750, 0.0806
1.000, 0.1075
1.250, 0.1344
1.500, 0.1611
1.750, 0.1878
2.000, 0.2144
2.250, 0.2410
2.500, 0.2675
2.750, 0.2938
3.000, 0.3201
3.250, 0.3462
3.500, 0.3730
3.750, 0.4004
4.000, 0.4276
4.250, 0.4588
4.500, 0.4903
4.750, 0.5213
5.000, 0.5572
5.500, 0.6268
5.750, 0.6601
6.000, 0.6940
6.250, 0.7290
6.500, 0.7635
6.750, 0.7976
7.000, 0.8267
7.250, 0.8474
7.500, 0.8686
7.750, 0.8887
8.000, 0.9103
8.250, 0.9312
8.500, 0.9516
8.750, 0.9734
9.000, 0.9948
9.250, 1.0143
9.500, 1.0368
9.750, 1.0591
10.000, 1.0808
10.250, 1.1001
10.500, 1.1229
10.750, 1.1450
11.000, 1.1668
11.250, 1.1874
11.500, 1.2033
11.750, 1.2251
12.000, 1.2457
12.250, 1.2651
12.500, 1.2837
12.750, 1.3008
13.000, 1.3137
13.250, 1.3157
13.500, 1.3290
13.750, 1.3406
14.000, 1.3509
14.250, 1.3600
14.500, 1.3679
14.750, 1.3750
15.000, 1.3814
15.250, 1.3864
15.500, 1.3892
15.750, 1.3881
16.000, 1.3818
16.250, 1.3702
16.500, 1.3536
16.750, 1.3451
17.000, 1.3352
17.250, 1.3218
17.500, 1.3059
17.750, 1.2880
18.000, 1.2685
18.250, 1.2485
18.500, 1.228